Name,Price,Rating,No of reviews,Product URL,ASIN,Product Description,Description,Manufacturer
NA,NA,NA,NA,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-1,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-2,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-3,NA,NA,NA,NA
COSMUS Tuxer 38L Large Laptop Backpack With 3 Compartments,"1,692",4.1 out of 5 stars,303 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg4NzgwMzU4MTY2MjkwOjE2OTAyODI5Nzg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDkwNjQ0OTk5NDA2OjowOjo&url=%2FCosmus-Tuxer-Laptop-Backpack-Compartments%2Fdp%2FB09HCK9MLX%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09HCK9MLX%26pd_rd_r%3D1fa39e52-b75b-49cb-b2f6-f84589447318%26pd_rd_w%3D3p1Fs%26pd_rd_wg%3DxWA2A%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DSGKZXRAAW92E9B0PCHPR%26qid%3D1690282978%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
"WALKENT Premium Spruce Laptop Bag, Stylish 15.6 Inch Vegan Leather Backpack, Waterproof, External USB, Multi Pockets, Cushioned Strap, Side Bottle Pockets for College, Office, Men, Women","3,029",4.5 out of 5 stars,19 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg4NzgwMzU4MTY2MjkwOjE2OTAyODI5Nzg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTYyNTQzNzA3MDk4OjoxOjo&url=%2FWALKENT-Stylish-Spruce-Waterprrof-Resistant%2Fdp%2FB0BJ982TQN%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BJ982TQN%26pd_rd_r%3D1fa39e52-b75b-49cb-b2f6-f84589447318%26pd_rd_w%3D3p1Fs%26pd_rd_wg%3DxWA2A%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DSGKZXRAAW92E9B0PCHPR%26qid%3D1690282978%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,000",4.2 out of 5 stars,167 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg4NzgwMzU4MTY2MjkwOjE2OTAyODI5Nzg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk3NTc5NTAxNzk4OjoyOjo&url=%2Fuppercase-ltrs-backpack-INVALID-DATA_red%2Fdp%2FB0B691HSL3%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B691HSL3%26pd_rd_r%3D1fa39e52-b75b-49cb-b2f6-f84589447318%26pd_rd_w%3D3p1Fs%26pd_rd_wg%3DxWA2A%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DSGKZXRAAW92E9B0PCHPR%26qid%3D1690282978%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,409",4.2 out of 5 stars,"2,266 ratings",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg4NzgwMzU4MTY2MjkwOjE2OTAyODI5Nzg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDQzMzIxMTM2NDA2OjozOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JXC2L4%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB078JXC2L4%26pd_rd_r%3D1fa39e52-b75b-49cb-b2f6-f84589447318%26pd_rd_w%3D3p1Fs%26pd_rd_wg%3DxWA2A%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DSGKZXRAAW92E9B0PCHPR%26qid%3D1690282978%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
Impulse Seacon Lite 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty(Grey),"1,439",4.0 out of 5 stars,1 rating,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg4NzgwMzU4MTY2MjkwOjE2OTAyODI5Nzg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTU3OTk0NzcyODk4Ojo0Ojo&url=%2FImpulse-Seacon-Lite-Resistant-Grey%2Fdp%2FB0C3MM9MPK%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0C3MM9MPK%26pd_rd_r%3D1fa39e52-b75b-49cb-b2f6-f84589447318%26pd_rd_w%3D3p1Fs%26pd_rd_wg%3DxWA2A%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DSGKZXRAAW92E9B0PCHPR%26qid%3D1690282978%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-4,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-5,NA,NA,NA,NA
